,open,close,high,low,total_turnover,volume
2009/8/17,7.5315,7.1666,7.8052,7.1564,989872290.9,123275379
2009/8/18,7.1801,7.2443,7.3153,7.0652,601150739.4,77821268
2009/8/19,7.2916,7.0213,7.4132,6.9098,599317183.9,77832817
2009/8/20,7.0314,7.2848,7.2882,6.9301,728855235.5,95218001
2009/8/21,7.3051,7.4572,7.6025,7.2815,1044471844,130952203
2009/8/24,7.5045,7.4065,7.5687,7.349,638338166.7,80200240
2009/8/25,7.3963,6.8726,7.3963,6.6665,1130510906,152157099
2009/8/26,6.7577,6.9672,7.0551,6.5888,739250218.4,100609209
2009/8/27,6.8591,6.805,7.0517,6.7881,592686061,80386991
2009/8/28,6.7949,6.4739,6.8625,6.4469,728308967.8,103845642
2009/8/31,6.3996,6.1462,6.4131,6.0955,667617816.1,99630381
2009/9/1,6.1462,6.4199,6.5111,6.1462,683604922.9,99972049
2009/9/2,6.3117,6.7037,6.7577,6.2509,822035763,115501408
2009/9/3,6.7172,6.9774,7.0517,6.6395,803812223.1,109037220
2009/9/4,7.0247,7.0044,7.1497,6.9537,600230912.6,79812881
2009/9/7,7.0449,7.0314,7.1564,6.9605,564654405.6,74707357
2009/9/8,6.9774,7.0821,7.0956,6.9199,695914337.7,92769579
2009/9/9,7.1091,7.0821,7.1632,6.9267,435507936.6,57725209
2009/9/10,7.0382,6.9943,7.0922,6.9436,485233594.8,64571229
2009/9/11,6.9368,7.3659,7.4268,6.9368,965618422.3,124918173
2009/9/14,7.3659,7.4268,7.491,7.2781,641851509,81079679
2009/9/15,7.4335,7.3963,7.5011,7.2984,453400634.1,57338076
2009/9/16,7.3051,7.1902,7.3558,7.0821,602675468.6,78170000
2009/9/17,7.2139,7.2612,7.322,7.2139,473194324.2,60835653
2009/9/18,7.3017,6.9267,7.3085,6.7915,1134002909,150544953
2009/9/21,6.8388,6.903,6.9267,6.582,823299387.2,114302558
2009/9/22,6.7915,6.6631,6.903,6.6429,710314100.7,97869333
2009/9/23,6.6665,6.5922,6.7544,6.5314,488930417.8,68815496
2009/9/24,6.5922,6.8659,7.0112,6.5314,965753793.1,133169528
2009/9/25,6.7577,6.8084,6.8523,6.6496,423648253.7,58577889
2009/9/28,6.8084,6.5685,6.8659,6.5314,290298484.3,40327259
2009/9/29,6.5888,6.6699,6.7341,6.5212,368535559.2,51967582
2009/9/30,6.7172,6.7611,6.8321,6.7037,365527776.9,50463813
2009/10/9,6.9267,7.1125,7.1632,6.8321,535696801.9,71183461
2009/10/12,7.1632,7.0922,7.2612,7.0618,509669623.5,66626966
2009/10/13,7.0449,7.1362,7.1632,7.0112,267367259.9,35102423
2009/10/14,7.1463,7.1733,7.3355,7.1058,621909572.2,80373159
2009/10/15,7.2477,7.2375,7.3896,7.1767,528984504.6,67781035
2009/10/16,7.2443,7.2004,7.322,7.0449,414123540.1,54056280
2009/10/19,7.2105,7.4504,7.4572,7.0956,756880641.7,96329246
2009/10/20,7.5011,7.5653,7.6025,7.4369,666569611.8,82665626
2009/10/21,7.5653,7.643,7.7917,7.5146,657002722.5,80178796
2009/10/22,7.6025,7.5112,7.6734,7.5045,501296678.1,61796941
2009/10/23,7.5653,7.7072,7.7917,7.5383,569395615.3,68956504
2009/10/26,7.7646,7.7072,7.8086,7.6261,371247201.9,44896564
2009/10/27,7.6633,7.4335,7.6633,7.393,497956743.7,61967186
2009/10/28,7.4065,7.393,7.4673,7.2409,359633608.3,45645278
2009/10/29,7.2984,7.5045,7.6396,7.2646,829904134.8,103162147
2009/10/30,7.7038,7.5957,7.7579,7.5112,590492346.9,71996882
2009/11/2,7.3997,8.3559,8.3559,7.3659,1830348476,210916124
2009/11/3,8.2782,8.4269,8.5283,8.258,1345694814,149030083
2009/11/4,8.3458,8.5823,8.8357,8.3458,1276594292,137999703
2009/11/5,8.5756,8.4641,8.6026,8.3965,727022422.4,79988960
2009/11/6,8.5789,8.481,8.6803,8.383,762726331.2,83766531
2009/11/9,8.4168,8.3999,8.5148,8.2039,810528310.7,90676181
2009/11/10,8.4539,8.7175,8.7884,8.4472,1285853205,138816967
2009/11/11,8.6195,8.6465,8.6938,8.5485,490000795.7,53109627
2009/11/12,8.6533,8.5012,8.7513,8.4674,541542273.2,58900954
2009/11/13,8.4979,8.5823,8.5823,8.3796,568337315.4,62617318
2009/11/16,8.6364,8.8594,8.8966,8.5925,880393414.4,93885796
2009/11/17,8.8729,8.7952,9.0317,8.6533,896886737.7,93935999
